Series_reference,Period,Data_value,UNITS,Group
ECTA.S19A1,2001.03,2462.5,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2002.03,17177.2,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2003.03,22530.5,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2004.03,28005.1,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2005.03,30629.6,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2006.03,33317.4,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2007.03,36232.6,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2008.03,39198.5,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2009.03,40629.4,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2010.03,41815.4,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2011.03,43848.6,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2012.03,47004.9,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2013.03,49188.8,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2014.03,52108.2,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2015.03,54410.5,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2016.03,57389.5,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2017.03,60616.6,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2018.03,64238.6,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2019.03,66777.7,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2020.03,68844.3,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2021.03,68203.1,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2022.03,71690.6,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A1,2023.03,78138.4,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2005.03,26469.8,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2006.03,28502.5,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2007.03,31000.7,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2008.03,33293.2,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2009.03,34258.5,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2010.03,35712.7,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2011.03,37132.3,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2012.03,39561.9,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2013.03,40945.5,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2014.03,42895.6,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2015.03,45331.2,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2016.03,48446.8,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2017.03,51519.4,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2018.03,54817.6,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2019.03,57151.8,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2020.03,59701.6,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2021.03,60264.6,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2022.03,62989.4,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A2,2023.03,68555.4,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A9,2001.03,98999,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A9,2002.03,78765,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A9,2003.03,87546,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A9,2004.03,36878.7,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A9,2005.03,40756.2,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A9,2006.03,44303.8,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A9,2007.03,48616.7,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A9,2008.03,52669.1,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A9,2009.03,54475.5,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A9,2010.03,55977.4,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A9,2011.03,58624.9,Dollars,Total values - Electronic card transactions A/S/T by division
ECTA.S19A9,2012.03,62614.7,Dollars,Total values - Electronic card transactions A/S/T by division
